418.000000	17.8476
420.000000	17.8954
422.000000	17.5588
424.000000	16.9702
426.000000	16.9981
428.000000	17.4743
430.000000	18.108
432.000000	17.5318
434.000000	16.9893
436.000000	16.5632
438.000000	16.2307
440.000000	15.8878
442.000000	15.58
444.000000	15.2097
446.000000	14.7144
448.000000	14.0612
450.000000	14.4156
452.000000	14.8469
454.000000	14.667
456.000000	13.9313
458.000000	13.4419
460.000000	13.6517
462.000000	13.4684
464.000000	12.7428
466.000000	12.2083
468.000000	12.4077
470.000000	12.4637
472.000000	12.5153
474.000000	12.4412
476.000000	12.2626
478.000000	12.2172
480.000000	12.0585
482.000000	12.2031
484.000000	12.017
486.000000	12.0235
488.000000	11.5661
490.000000	11.3749
492.000000	11.2977
494.000000	11.4569
496.000000	11.633
498.000000	11.6998
500.000000	11.6198
502.000000	11.3961
504.000000	11.2393
506.000000	11.1268
508.000000	10.8275
510.000000	10.6846
512.000000	10.7504
514.000000	10.7728
516.000000	10.8506
518.000000	10.6111
520.000000	10.6686
522.000000	10.4626
524.000000	10.31
526.000000	9.85848
528.000000	9.78161
530.000000	9.94361
532.000000	10.1371
534.000000	10.1975
536.000000	10.1586
538.000000	10.0987
540.000000	9.97781
542.000000	9.88725
544.000000	9.75441
546.000000	9.58982
548.000000	9.48414
550.000000	9.56344
552.000000	9.72279
554.000000	9.80094
556.000000	9.60757
558.000000	9.62954
560.000000	9.6278
562.000000	9.63485
564.000000	9.21384
566.000000	9.28507
568.000000	9.23477
570.000000	8.94287
572.000000	8.82992
574.000000	8.88354
576.000000	9.05057
578.000000	9.03044
580.000000	9.0709
582.000000	9.1962
584.000000	9.19027
586.000000	9.10714
588.000000	8.98297
590.000000	8.80375
592.000000	8.78616
594.000000	8.83627
596.000000	8.83935
598.000000	8.73655
600.000000	8.69579
602.000000	8.69793
604.000000	8.89769
606.000000	9.00051
608.000000	9.09888
610.000000	8.90519
612.000000	8.71232
614.000000	8.56222
616.000000	8.56722
618.000000	8.6273
620.000000	8.59557
622.000000	8.59694
624.000000	8.59761
626.000000	8.73303
628.000000	8.82379
630.000000	8.78856
632.000000	8.62816
634.000000	8.43408
636.000000	8.26981
638.000000	8.26831
640.000000	8.37092
642.000000	8.44599
644.000000	8.6036
646.000000	8.61121
648.000000	8.53405
650.000000	8.37471
652.000000	8.28046
654.000000	8.20414
656.000000	8.11342
658.000000	8.15687
660.000000	8.03753
662.000000	8.0055
664.000000	8.07097
666.000000	8.19463
668.000000	8.22747
670.000000	7.98816
672.000000	7.99789
674.000000	8.00358
676.000000	7.98462
678.000000	8.17862
680.000000	8.14015
682.000000	8.25476
684.000000	8.12611
686.000000	7.85525
688.000000	7.85875
690.000000	7.89971
692.000000	8.10212
694.000000	8.12751
696.000000	8.24028
698.000000	8.16004
700.000000	7.84063
702.000000	7.67889
704.000000	7.80981
706.000000	8.03623
708.000000	7.904
710.000000	7.91872
712.000000	7.99751
714.000000	8.13236
716.000000	7.96159
718.000000	7.83841
720.000000	7.70137
722.000000	7.81809
724.000000	7.82337
726.000000	7.75205
728.000000	7.81169
730.000000	7.77377
