group,mean_dx_um,std_dx_um,n,diffusion_m2_s,kb_1e23,kb_sem_1e23,radius_nm_mean,normality_pvalue,kb_rel_error_percent
1,-0.6637407295278015,1.1774575006678565,29,8.895754063724264e-13,4.215402244526959,1.0252673089058968,842.1703333333334,0.9459102943057668,205.32034170357264
2,0.0080087023504051,1.1570558895569258,27,6.446290441106982e-13,3.1043059451274835,0.8006635657946954,855.8513333333334,0.8549584621395132,124.84396433325801
3,0.675129433773073,0.8512941305145953,8,5.44956868457138e-13,2.6405581728606187,1.6048157495613775,861.147,0.2211223492414569,91.25484991917703
all,-0.2129876675415738,1.2098889629579186,64,7.431613425538487e-13,3.567114761746242,0.6083052190430271,853.0562222222223,0.8905534997243907,158.36507046658795
