"group6-2-Ag-30.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
694.00,0.016
695.00,0.016
696.00,0.016
697.00,0.016
698.00,0.015
699.00,0.015
700.00,0.015
701.00,0.015
702.00,0.015
703.00,0.015
704.00,0.015
705.00,0.015
706.00,0.015
707.00,0.015
708.00,0.015
709.00,0.014
710.00,0.014
711.00,0.014
712.00,0.014
713.00,0.014
714.00,0.014
715.00,0.014
716.00,0.014
717.00,0.014
718.00,0.014
719.00,0.014
720.00,0.014
721.00,0.014
722.00,0.013
723.00,0.013
724.00,0.013
725.00,0.013
726.00,0.013
727.00,0.013
728.00,0.013
729.00,0.013
730.00,0.013
731.00,0.013
732.00,0.013
733.00,0.013
734.00,0.013
735.00,0.013
736.00,0.012
737.00,0.012
738.00,0.012
739.00,0.012
740.00,0.012
741.00,0.012
742.00,0.012
743.00,0.012
744.00,0.012
745.00,0.012
746.00,0.012
747.00,0.012
748.00,0.012
749.00,0.012
750.00,0.012
751.00,0.012
752.00,0.011
753.00,0.011
754.00,0.011
755.00,0.011
756.00,0.011
757.00,0.011
758.00,0.011
759.00,0.011
760.00,0.011
761.00,0.011
762.00,0.011
763.00,0.011
764.00,0.011
765.00,0.011
766.00,0.011
767.00,0.011
768.00,0.011
769.00,0.010
770.00,0.010
771.00,0.010
772.00,0.010
773.00,0.010
774.00,0.010
775.00,0.010
776.00,0.010
777.00,0.010
778.00,0.010
779.00,0.010
780.00,0.010
781.00,0.010
782.00,0.010
783.00,0.010
784.00,0.010
785.00,0.010
786.00,0.010
787.00,0.010
788.00,0.010
789.00,0.009
790.00,0.009
791.00,0.009
792.00,0.009
793.00,0.009
794.00,0.009
795.00,0.009
796.00,0.009
797.00,0.009
798.00,0.009
799.00,0.009
800.00,0.009
