"Group_5_2_Ag_20.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
759.00,0.015
760.00,0.015
761.00,0.015
762.00,0.015
763.00,0.015
764.00,0.015
765.00,0.015
766.00,0.015
767.00,0.015
768.00,0.015
769.00,0.015
770.00,0.015
771.00,0.015
772.00,0.015
773.00,0.015
774.00,0.015
775.00,0.015
776.00,0.015
777.00,0.014
778.00,0.014
779.00,0.014
780.00,0.014
781.00,0.014
782.00,0.014
783.00,0.014
784.00,0.014
785.00,0.014
786.00,0.014
787.00,0.014
788.00,0.014
789.00,0.014
790.00,0.014
791.00,0.014
792.00,0.014
793.00,0.014
794.00,0.014
795.00,0.014
796.00,0.014
797.00,0.014
798.00,0.014
799.00,0.014
800.00,0.014
