"Group_5_2_Ag_20.spc - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
300.00,0.053
301.00,0.051
302.00,0.048
303.00,0.047
304.00,0.045
305.00,0.041
306.00,0.039
307.00,0.037
308.00,0.034
309.00,0.033
310.00,0.031
311.00,0.029
312.00,0.027
313.00,0.026
314.00,0.024
315.00,0.024
316.00,0.022
317.00,0.021
318.00,0.020
319.00,0.020
320.00,0.019
321.00,0.019
322.00,0.018
323.00,0.018
324.00,0.019
325.00,0.019
326.00,0.020
327.00,0.020
328.00,0.021
329.00,0.021
330.00,0.023
331.00,0.024
332.00,0.025
333.00,0.027
334.00,0.029
335.00,0.030
336.00,0.033
337.00,0.034
338.00,0.037
339.00,0.040
340.00,0.042
341.00,0.045
342.00,0.048
343.00,0.052
344.00,0.055
345.00,0.058
346.00,0.062
347.00,0.065
348.00,0.067
349.00,0.070
350.00,0.071
351.00,0.072
352.00,0.074
353.00,0.075
354.00,0.077
355.00,0.079
356.00,0.080
357.00,0.082
358.00,0.084
359.00,0.086
360.00,0.090
361.00,0.092
362.00,0.095
363.00,0.097
364.00,0.101
365.00,0.104
366.00,0.108
367.00,0.112
368.00,0.115
369.00,0.118
370.00,0.122
371.00,0.126
372.00,0.130
373.00,0.134
374.00,0.136
375.00,0.141
376.00,0.144
377.00,0.148
378.00,0.152
379.00,0.155
380.00,0.159
381.00,0.163
382.00,0.167
383.00,0.171
384.00,0.175
385.00,0.179
386.00,0.182
387.00,0.186
388.00,0.190
389.00,0.194
390.00,0.197
391.00,0.201
392.00,0.205
393.00,0.209
394.00,0.212
395.00,0.216
396.00,0.219
397.00,0.223
398.00,0.226
399.00,0.230
400.00,0.233
401.00,0.236
402.00,0.238
403.00,0.241
404.00,0.243
405.00,0.246
406.00,0.248
407.00,0.249
408.00,0.251
409.00,0.252
410.00,0.254
411.00,0.255
412.00,0.256
413.00,0.257
414.00,0.257
415.00,0.258
416.00,0.258
417.00,0.258
418.00,0.258
419.00,0.258
420.00,0.257
421.00,0.257
422.00,0.256
423.00,0.255
424.00,0.255
425.00,0.249
426.00,0.248
427.00,0.247
428.00,0.245
429.00,0.244
430.00,0.243
431.00,0.241
432.00,0.239
433.00,0.238
434.00,0.236
435.00,0.234
436.00,0.232
437.00,0.230
438.00,0.228
439.00,0.226
440.00,0.224
441.00,0.222
442.00,0.220
443.00,0.217
444.00,0.215
445.00,0.213
446.00,0.210
447.00,0.208
448.00,0.206
449.00,0.203
450.00,0.201
451.00,0.199
452.00,0.196
453.00,0.194
454.00,0.191
455.00,0.189
456.00,0.187
457.00,0.184
458.00,0.182
459.00,0.179
460.00,0.177
461.00,0.174
462.00,0.172
463.00,0.170
464.00,0.167
465.00,0.164
466.00,0.162
467.00,0.160
468.00,0.157
469.00,0.155
470.00,0.152
471.00,0.150
472.00,0.148
473.00,0.146
474.00,0.143
475.00,0.141
476.00,0.139
477.00,0.137
478.00,0.135
479.00,0.132
480.00,0.130
481.00,0.128
482.00,0.126
483.00,0.124
484.00,0.122
485.00,0.120
486.00,0.118
487.00,0.116
488.00,0.114
489.00,0.113
490.00,0.111
491.00,0.109
492.00,0.108
493.00,0.106
494.00,0.104
495.00,0.103
496.00,0.101
497.00,0.099
498.00,0.098
499.00,0.096
500.00,0.095
501.00,0.093
502.00,0.092
503.00,0.091
504.00,0.089
505.00,0.088
506.00,0.086
507.00,0.085
508.00,0.084
509.00,0.083
510.00,0.081
511.00,0.080
512.00,0.079
513.00,0.078
514.00,0.077
515.00,0.076
516.00,0.075
517.00,0.074
518.00,0.072
519.00,0.072
520.00,0.070
521.00,0.069
522.00,0.068
523.00,0.068
524.00,0.067
525.00,0.066
526.00,0.065
527.00,0.064
528.00,0.063
529.00,0.062
530.00,0.061
531.00,0.061
532.00,0.060
533.00,0.059
534.00,0.059
535.00,0.058
536.00,0.057
537.00,0.056
538.00,0.055
539.00,0.055
540.00,0.054
541.00,0.054
542.00,0.053
543.00,0.053
544.00,0.052
545.00,0.052
546.00,0.051
547.00,0.050
548.00,0.050
549.00,0.049
550.00,0.048
551.00,0.048
552.00,0.047
553.00,0.047
554.00,0.046
555.00,0.046
556.00,0.045
557.00,0.045
558.00,0.045
559.00,0.044
560.00,0.044
561.00,0.043
562.00,0.043
563.00,0.042
564.00,0.042
565.00,0.042
566.00,0.041
567.00,0.041
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.038
575.00,0.038
576.00,0.037
577.00,0.037
578.00,0.037
579.00,0.037
580.00,0.036
581.00,0.036
582.00,0.036
583.00,0.035
584.00,0.035
585.00,0.035
586.00,0.035
587.00,0.034
588.00,0.034
589.00,0.034
590.00,0.034
591.00,0.033
592.00,0.033
593.00,0.033
594.00,0.033
595.00,0.032
596.00,0.032
597.00,0.032
598.00,0.032
599.00,0.031
600.00,0.031
601.00,0.030
602.00,0.030
603.00,0.030
604.00,0.030
605.00,0.030
606.00,0.029
607.00,0.029
608.00,0.029
609.00,0.029
610.00,0.029
611.00,0.028
612.00,0.028
613.00,0.028
614.00,0.028
615.00,0.028
616.00,0.027
617.00,0.027
618.00,0.027
619.00,0.027
620.00,0.027
621.00,0.027
622.00,0.027
623.00,0.027
624.00,0.026
625.00,0.026
626.00,0.026
627.00,0.026
628.00,0.026
629.00,0.026
630.00,0.026
631.00,0.025
632.00,0.025
633.00,0.025
634.00,0.025
635.00,0.025
636.00,0.025
637.00,0.024
638.00,0.024
639.00,0.024
640.00,0.024
641.00,0.024
642.00,0.024
643.00,0.024
644.00,0.024
645.00,0.024
646.00,0.024
647.00,0.023
648.00,0.023
649.00,0.023
650.00,0.023
651.00,0.023
652.00,0.023
653.00,0.023
654.00,0.023
655.00,0.023
656.00,0.023
657.00,0.022
658.00,0.022
659.00,0.022
660.00,0.022
661.00,0.022
662.00,0.022
663.00,0.022
664.00,0.022
665.00,0.022
666.00,0.022
667.00,0.022
668.00,0.022
669.00,0.022
670.00,0.021
671.00,0.021
672.00,0.021
673.00,0.021
674.00,0.021
675.00,0.021
676.00,0.021
677.00,0.021
678.00,0.021
679.00,0.020
680.00,0.020
681.00,0.020
682.00,0.020
683.00,0.020
684.00,0.020
685.00,0.020
686.00,0.020
687.00,0.020
688.00,0.020
689.00,0.019
690.00,0.019
691.00,0.019
692.00,0.019
693.00,0.019
694.00,0.019
695.00,0.019
696.00,0.019
697.00,0.019
698.00,0.019
699.00,0.019
700.00,0.019
701.00,0.019
702.00,0.019
703.00,0.018
704.00,0.018
705.00,0.018
706.00,0.018
707.00,0.018
708.00,0.018
709.00,0.018
710.00,0.018
711.00,0.018
712.00,0.018
713.00,0.018
714.00,0.018
715.00,0.018
716.00,0.018
717.00,0.018
718.00,0.017
719.00,0.017
720.00,0.017
721.00,0.017
722.00,0.017
723.00,0.017
724.00,0.017
725.00,0.017
726.00,0.017
727.00,0.017
728.00,0.017
729.00,0.017
730.00,0.017
731.00,0.017
732.00,0.017
733.00,0.017
734.00,0.017
735.00,0.016
736.00,0.016
737.00,0.016
738.00,0.016
739.00,0.016
740.00,0.016
741.00,0.016
742.00,0.016
743.00,0.016
744.00,0.016
745.00,0.016
746.00,0.016
747.00,0.016
748.00,0.016
749.00,0.016
750.00,0.016
751.00,0.016
752.00,0.016
753.00,0.016
754.00,0.016
755.00,0.015
756.00,0.015
757.00,0.015
758.00,0.015
