时间(分钟),信号值(微伏),T,信号值(微伏)
0,309,38.822314,-5185
0.0027,309,38.822314,-5185
0.0053,309,38.822314,-5186
0.008,311,38.870206,-5186
0.0107,313,38.918098,-5187
0.0133,316,38.989936,-5186
0.016,314,38.942044,-5187
0.0187,310,38.84626,-5187
0.0213,310,38.84626,-5187
0.024,312,38.894152,-5187
0.0267,315,38.96599,-5188
0.0293,317,39.013882,-5187
0.032,315,38.96599,-5187
0.0347,311,38.870206,-5189
0.0373,311,38.870206,-5190
0.04,315,38.96599,-5191
0.0427,317,39.013882,-5191
0.0453,318,39.037828,-5191
0.048,315,38.96599,-5187
0.0507,313,38.918098,-5189
0.0533,317,39.013882,-5191
0.056,319,39.061774,-5193
0.0587,320,39.08572,-5192
0.0613,317,39.013882,-5194
0.064,315,38.96599,-5194
0.0667,319,39.061774,-5194
0.0693,322,39.133612,-5195
0.072,322,39.133612,-5196
0.0747,318,39.037828,-5196
0.0773,318,39.037828,-5196
0.08,323,39.157558,-5196
0.0827,325,39.20545,-5196
0.0853,322,39.133612,-5197
0.088,320,39.08572,-5198
0.0907,323,39.157558,-5198
0.0933,327,39.253342,-5200
0.096,324,39.181504,-5199
0.0987,324,39.181504,-5201
0.1013,327,39.253342,-5200
0.104,328,39.277288,-5201
0.1067,326,39.229396,-5202
0.1093,329,39.301234,-5201
0.112,332,39.373072,-5203
0.1147,332,39.373072,-5202
0.1173,332,39.373072,-5203
0.12,335,39.44491,-5203
0.1227,335,39.44491,-5203
0.1253,332,39.373072,-5205
0.128,336,39.468856,-5206
0.1307,336,39.468856,-5207
0.1333,336,39.468856,-5207
0.136,340,39.56464,-5208
0.1387,340,39.56464,-5209
0.1413,339,39.540694,-5209
0.144,344,39.660424,-5211
0.1467,341,39.588586,-5211
0.1493,344,39.660424,-5212
0.152,347,39.732262,-5212
0.1547,344,39.660424,-5213
0.1573,350,39.8041,-5214
0.16,347,39.732262,-5214
0.1627,351,39.828046,-5215
0.1653,352,39.851992,-5217
0.168,351,39.828046,-5218
0.1707,354,39.899884,-5218
0.1733,355,39.92383,-5219
0.176,358,39.995668,-5219
0.1787,357,39.971722,-5220
0.1813,360,40.04356,-5220
0.184,362,40.091452,-5221
0.1867,363,40.115398,-5222
0.1893,363,40.115398,-5222
0.192,366,40.187236,-5223
0.1947,365,40.16329,-5224
0.1973,368,40.235128,-5224
0.2,371,40.306966,-5225
0.2027,371,40.306966,-5226
0.2053,374,40.378804,-5228
0.208,373,40.354858,-5228
0.2107,376,40.426696,-5228
0.2133,379,40.498534,-5230
0.216,379,40.498534,-5230
0.2187,382,40.570372,-5231
0.2213,382,40.570372,-5232
0.224,385,40.64221,-5233
0.2267,387,40.690102,-5234
0.2293,388,40.714048,-5235
0.232,390,40.76194,-5236
0.2347,392,40.809832,-5236
0.2373,393,40.833778,-5237
0.24,396,40.905616,-5238
0.2427,397,40.929562,-5239
0.2453,399,40.977454,-5238
0.248,401,41.025346,-5239
0.2507,404,41.097184,-5239
0.2533,405,41.12113,-5240
0.256,407,41.169022,-5241
0.2587,409,41.216914,-5242
0.2613,411,41.264806,-5243
0.264,414,41.336644,-5242
0.2667,416,41.384536,-5243
0.2693,417,41.408482,-5244
0.272,419,41.456374,-5245
0.2747,421,41.504266,-5244
0.2773,424,41.576104,-5244
0.28,426,41.623996,-5245
0.2827,428,41.671888,-5246
0.2853,430,41.71978,-5247
0.288,431,41.743726,-5245
0.2907,435,41.83951,-5246
0.2933,437,41.887402,-5246
0.296,439,41.935294,-5247
0.2987,441,41.983186,-5247
0.3013,443,42.031078,-5247
0.304,446,42.102916,-5248
0.3067,449,42.174754,-5248
0.3093,450,42.1987,-5249
0.312,452,42.246592,-5250
0.3147,454,42.294484,-5249
0.3173,458,42.390268,-5250
0.32,460,42.43816,-5250
0.3227,462,42.486052,-5250
0.3253,464,42.533944,-5251
0.328,466,42.581836,-5251
0.3307,471,42.701566,-5251
0.3333,473,42.749458,-5252
0.336,475,42.79735,-5252
0.3387,477,42.845242,-5252
0.3413,479,42.893134,-5251
0.344,483,42.988918,-5252
0.3467,485,43.03681,-5252
0.3493,488,43.108648,-5252
0.352,489,43.132594,-5253
0.3547,491,43.180486,-5253
0.3573,496,43.300216,-5252
0.36,498,43.348108,-5252
0.3627,500,43.396,-5253
0.3653,502,43.443892,-5254
0.368,504,43.491784,-5255
0.3707,509,43.611514,-5257
0.3733,511,43.659406,-5255
0.376,513,43.707298,-5254
0.3787,516,43.779136,-5255
0.3813,518,43.827028,-5255
0.384,523,43.946758,-5256
0.3867,525,43.99465,-5257
0.3893,527,44.042542,-5258
0.392,529,44.090434,-5259
0.3947,532,44.162272,-5260
0.3973,536,44.258056,-5261
0.4,538,44.305948,-5261
0.4027,541,44.377786,-5261
0.4053,543,44.425678,-5263
0.408,545,44.47357,-5263
0.4107,550,44.5933,-5263
0.4133,552,44.641192,-5263
0.416,555,44.71303,-5263
0.4187,557,44.760922,-5264
0.4213,559,44.808814,-5265
0.424,564,44.928544,-5266
0.4267,567,45.000382,-5267
0.4293,569,45.048274,-5268
0.432,571,45.096166,-5269
0.4347,574,45.168004,-5269
0.4373,579,45.287734,-5269
0.44,581,45.335626,-5270
0.4427,583,45.383518,-5271
0.4453,586,45.455356,-5272
0.448,588,45.503248,-5272
0.4507,593,45.622978,-5272
0.4533,595,45.67087,-5273
0.456,598,45.742708,-5274
0.4587,600,45.7906,-5275
0.4613,603,45.862438,-5275
0.464,607,45.958222,-5275
0.4667,610,46.03006,-5276
0.4693,612,46.077952,-5277
0.472,615,46.14979,-5278
0.4747,617,46.197682,-5279
0.4773,622,46.317412,-5279
0.48,625,46.38925,-5279
0.4827,627,46.437142,-5280
0.4853,630,46.50898,-5280
0.488,632,46.556872,-5281
0.4907,637,46.676602,-5281
0.4933,639,46.724494,-5282
0.496,642,46.796332,-5282
0.4987,644,46.844224,-5283
0.5013,647,46.916062,-5283
0.504,652,47.035792,-5283
0.5067,654,47.083684,-5283
0.5093,656,47.131576,-5283
0.512,659,47.203414,-5284
0.5147,661,47.251306,-5285
0.5173,667,47.394982,-5285
0.52,669,47.442874,-5285
0.5227,671,47.490766,-5285
0.5253,674,47.562604,-5285
0.528,676,47.610496,-5286
0.5307,681,47.730226,-5286
0.5333,684,47.802064,-5286
0.536,686,47.849956,-5286
0.5387,688,47.897848,-5287
0.5413,691,47.969686,-5287
0.544,696,48.089416,-5287
0.5467,698,48.137308,-5287
0.5493,701,48.209146,-5287
0.552,703,48.257038,-5288
0.5547,706,48.328876,-5288
0.5573,711,48.448606,-5288
0.56,713,48.496498,-5288
0.5627,715,48.54439,-5289
0.5653,718,48.616228,-5288
0.568,720,48.66412,-5288
0.5707,725,48.78385,-5289
0.5733,728,48.855688,-5290
0.576,730,48.90358,-5290
0.5787,733,48.975418,-5291
0.5813,735,49.02331,-5292
0.584,739,49.119094,-5292
0.5867,742,49.190932,-5293
0.5893,744,49.238824,-5293
0.592,747,49.310662,-5294
0.5947,749,49.358554,-5294
0.5973,754,49.478284,-5294
0.6,757,49.550122,-5294
0.6027,759,49.598014,-5294
0.6053,761,49.645906,-5294
0.608,764,49.717744,-5295
0.6107,769,49.837474,-5295
0.6133,771,49.885366,-5296
0.616,773,49.933258,-5297
0.6187,775,49.98115,-5298
0.6213,778,50.052988,-5298
0.624,783,50.172718,-5299
0.6267,785,50.22061,-5299
0.6293,787,50.268502,-5299
0.632,790,50.34034,-5299
0.6347,792,50.388232,-5300
0.6373,797,50.507962,-5299
0.64,799,50.555854,-5300
0.6427,801,50.603746,-5300
0.6453,804,50.675584,-5300
0.648,806,50.723476,-5301
0.6507,811,50.843206,-5301
0.6533,813,50.891098,-5301
0.656,815,50.93899,-5301
0.6587,818,51.010828,-5302
0.6613,820,51.05872,-5302
0.664,824,51.154504,-5303
0.6667,827,51.226342,-5304
0.6693,829,51.274234,-5304
0.672,831,51.322126,-5304
0.6747,833,51.370018,-5305
0.6773,838,51.489748,-5305
0.68,840,51.53764,-5305
0.6827,842,51.585532,-5306
0.6853,844,51.633424,-5306
0.688,847,51.705262,-5307
0.6907,851,51.801046,-5307
0.6933,853,51.848938,-5308
0.696,856,51.920776,-5309
0.6987,858,51.968668,-5310
0.7013,860,52.01656,-5309
0.704,865,52.13629,-5309
