时间(分钟),信号值(微伏)
0.0000,-5185
0.0027,-5185
0.0053,-5186
0.0080,-5186
0.0107,-5187
0.0133,-5186
0.0160,-5187
0.0187,-5187
0.0213,-5187
0.0240,-5187
0.0267,-5188
0.0293,-5187
0.0320,-5187
0.0347,-5189
0.0373,-5190
0.0400,-5191
0.0427,-5191
0.0453,-5191
0.0480,-5187
0.0507,-5189
0.0533,-5191
0.0560,-5193
0.0587,-5192
0.0613,-5194
0.0640,-5194
0.0667,-5194
0.0693,-5195
0.0720,-5196
0.0747,-5196
0.0773,-5196
0.0800,-5196
0.0827,-5196
0.0853,-5197
0.0880,-5198
0.0907,-5198
0.0933,-5200
0.0960,-5199
0.0987,-5201
0.1013,-5200
0.1040,-5201
0.1067,-5202
0.1093,-5201
0.1120,-5203
0.1147,-5202
0.1173,-5203
0.1200,-5203
0.1227,-5203
0.1253,-5205
0.1280,-5206
0.1307,-5207
0.1333,-5207
0.1360,-5208
0.1387,-5209
0.1413,-5209
0.1440,-5211
0.1467,-5211
0.1493,-5212
0.1520,-5212
0.1547,-5213
0.1573,-5214
0.1600,-5214
0.1627,-5215
0.1653,-5217
0.1680,-5218
0.1707,-5218
0.1733,-5219
0.1760,-5219
0.1787,-5220
0.1813,-5220
0.1840,-5221
0.1867,-5222
0.1893,-5222
0.1920,-5223
0.1947,-5224
0.1973,-5224
0.2000,-5225
0.2027,-5226
0.2053,-5228
0.2080,-5228
0.2107,-5228
0.2133,-5230
0.2160,-5230
0.2187,-5231
0.2213,-5232
0.2240,-5233
0.2267,-5234
0.2293,-5235
0.2320,-5236
0.2347,-5236
0.2373,-5237
0.2400,-5238
0.2427,-5239
0.2453,-5238
0.2480,-5239
0.2507,-5239
0.2533,-5240
0.2560,-5241
0.2587,-5242
0.2613,-5243
0.2640,-5242
0.2667,-5243
0.2693,-5244
0.2720,-5245
0.2747,-5244
0.2773,-5244
0.2800,-5245
0.2827,-5246
0.2853,-5247
0.2880,-5245
0.2907,-5246
0.2933,-5246
0.2960,-5247
0.2987,-5247
0.3013,-5247
0.3040,-5248
0.3067,-5248
0.3093,-5249
0.3120,-5250
0.3147,-5249
0.3173,-5250
0.3200,-5250
0.3227,-5250
0.3253,-5251
0.3280,-5251
0.3307,-5251
0.3333,-5252
0.3360,-5252
0.3387,-5252
0.3413,-5251
0.3440,-5252
0.3467,-5252
0.3493,-5252
0.3520,-5253
0.3547,-5253
0.3573,-5252
0.3600,-5252
0.3627,-5253
0.3653,-5254
0.3680,-5255
0.3707,-5257
0.3733,-5255
0.3760,-5254
0.3787,-5255
0.3813,-5255
0.3840,-5256
0.3867,-5257
0.3893,-5258
0.3920,-5259
0.3947,-5260
0.3973,-5261
0.4000,-5261
0.4027,-5261
0.4053,-5263
0.4080,-5263
0.4107,-5263
0.4133,-5263
0.4160,-5263
0.4187,-5264
0.4213,-5265
0.4240,-5266
0.4267,-5267
0.4293,-5268
0.4320,-5269
0.4347,-5269
0.4373,-5269
0.4400,-5270
0.4427,-5271
0.4453,-5272
0.4480,-5272
0.4507,-5272
0.4533,-5273
0.4560,-5274
0.4587,-5275
0.4613,-5275
0.4640,-5275
0.4667,-5276
0.4693,-5277
0.4720,-5278
0.4747,-5279
0.4773,-5279
0.4800,-5279
0.4827,-5280
0.4853,-5280
0.4880,-5281
0.4907,-5281
0.4933,-5282
0.4960,-5282
0.4987,-5283
0.5013,-5283
0.5040,-5283
0.5067,-5283
0.5093,-5283
0.5120,-5284
0.5147,-5285
0.5173,-5285
0.5200,-5285
0.5227,-5285
0.5253,-5285
0.5280,-5286
0.5307,-5286
0.5333,-5286
0.5360,-5286
0.5387,-5287
0.5413,-5287
0.5440,-5287
0.5467,-5287
0.5493,-5287
0.5520,-5288
0.5547,-5288
0.5573,-5288
0.5600,-5288
0.5627,-5289
0.5653,-5288
0.5680,-5288
0.5707,-5289
0.5733,-5290
0.5760,-5290
0.5787,-5291
0.5813,-5292
0.5840,-5292
0.5867,-5293
0.5893,-5293
0.5920,-5294
0.5947,-5294
0.5973,-5294
0.6000,-5294
0.6027,-5294
0.6053,-5294
0.6080,-5295
0.6107,-5295
0.6133,-5296
0.6160,-5297
0.6187,-5298
0.6213,-5298
0.6240,-5299
0.6267,-5299
0.6293,-5299
0.6320,-5299
0.6347,-5300
0.6373,-5299
0.6400,-5300
0.6427,-5300
0.6453,-5300
0.6480,-5301
0.6507,-5301
0.6533,-5301
0.6560,-5301
0.6587,-5302
0.6613,-5302
0.6640,-5303
0.6667,-5304
0.6693,-5304
0.6720,-5304
0.6747,-5305
0.6773,-5305
0.6800,-5305
0.6827,-5306
0.6853,-5306
0.6880,-5307
0.6907,-5307
0.6933,-5308
0.6960,-5309
0.6987,-5310
0.7013,-5309
0.7040,-5309
0.7067,-5309
0.7093,-5308
0.7120,-5308
0.7147,-5309
0.7173,-5310
0.7200,-5309
0.7227,-5308
0.7253,-5314
0.7280,-5310
0.7307,-5310
0.7333,-5310
0.7360,-5311
0.7387,-5310
0.7413,-5311
0.7440,-5310
0.7467,-5311
0.7493,-5311
0.7520,-5312
0.7547,-5312
0.7573,-5312
0.7600,-5312
0.7627,-5312
0.7653,-5313
0.7680,-5313
0.7707,-5313
0.7733,-5314
0.7760,-5314
0.7787,-5313
0.7813,-5313
0.7840,-5313
0.7867,-5312
0.7893,-5311
0.7920,-5312
0.7947,-5313
0.7973,-5312
0.8000,-5312
0.8027,-5312
0.8053,-5310
0.8080,-5310
0.8107,-5310
0.8133,-5311
0.8160,-5311
