时间(分钟),信号值(微伏)
0.0000,-5974
0.0027,-5974
0.0053,-5974
0.0080,-5973
0.0107,-5972
0.0133,-5972
0.0160,-5972
0.0187,-5972
0.0213,-5972
0.0240,-5971
0.0267,-5971
0.0293,-5971
0.0320,-5971
0.0347,-5970
0.0373,-5971
0.0400,-5970
0.0427,-5970
0.0453,-5969
0.0480,-5969
0.0507,-5969
0.0533,-5970
0.0560,-5969
0.0587,-5969
0.0613,-5968
0.0640,-5968
0.0667,-5967
0.0693,-5967
0.0720,-5967
0.0747,-5967
0.0773,-5967
0.0800,-5966
0.0827,-5966
0.0853,-5966
0.0880,-5966
0.0907,-5966
0.0933,-5965
0.0960,-5964
0.0987,-5965
0.1013,-5964
0.1040,-5964
0.1067,-5964
0.1093,-5965
0.1120,-5965
0.1147,-5964
0.1173,-5965
0.1200,-5965
0.1227,-5965
0.1253,-5964
0.1280,-5964
0.1307,-5964
0.1333,-5964
0.1360,-5964
0.1387,-5963
0.1413,-5963
0.1440,-5963
0.1467,-5963
0.1493,-5963
0.1520,-5963
0.1547,-5963
0.1573,-5963
0.1600,-5963
0.1627,-5963
0.1653,-5963
0.1680,-5963
0.1707,-5963
0.1733,-5963
0.1760,-5963
0.1787,-5962
0.1813,-5963
0.1840,-5962
0.1867,-5963
0.1893,-5962
0.1920,-5962
0.1947,-5962
0.1973,-5963
0.2000,-5963
0.2027,-5963
0.2053,-5964
0.2080,-5964
0.2107,-5963
0.2133,-5963
0.2160,-5962
0.2187,-5962
0.2213,-5962
0.2240,-5962
0.2267,-5962
0.2293,-5961
0.2320,-5961
0.2347,-5961
0.2373,-5961
0.2400,-5960
0.2427,-5960
0.2453,-5960
0.2480,-5961
0.2507,-5960
0.2533,-5960
0.2560,-5960
0.2587,-5960
0.2613,-5960
0.2640,-5961
0.2667,-5961
0.2693,-5960
0.2720,-5960
0.2747,-5961
0.2773,-5960
0.2800,-5959
0.2827,-5959
0.2853,-5959
0.2880,-5959
0.2907,-5959
0.2933,-5959
0.2960,-5960
0.2987,-5961
0.3013,-5961
0.3040,-5959
0.3067,-5958
0.3093,-5958
0.3120,-5958
0.3147,-5958
0.3173,-5958
0.3200,-5958
0.3227,-5957
0.3253,-5957
0.3280,-5958
0.3307,-5958
0.3333,-5958
0.3360,-5958
0.3387,-5958
0.3413,-5958
0.3440,-5958
0.3467,-5958
0.3493,-5958
0.3520,-5958
0.3547,-5958
0.3573,-5959
0.3600,-5959
0.3627,-5958
0.3653,-5958
0.3680,-5960
0.3707,-5959
0.3733,-5960
0.3760,-5961
0.3787,-5961
0.3813,-5961
0.3840,-5961
0.3867,-5961
0.3893,-5961
0.3920,-5961
0.3947,-5962
0.3973,-5962
0.4000,-5961
0.4027,-5962
0.4053,-5963
0.4080,-5964
0.4107,-5963
0.4133,-5963
0.4160,-5963
0.4187,-5964
0.4213,-5965
0.4240,-5965
0.4267,-5966
0.4293,-5966
0.4320,-5966
0.4347,-5968
0.4373,-5968
0.4400,-5968
0.4427,-5968
0.4453,-5969
